item,count,rank
1387,24181,140
454,24151,141
1968,24070,142
2396,24058,143
223,24047,144
2324,23965,145
2291,23798,146
288,23247,147
4027,23246,148
1517,23244,149
1784,23142,150
68157,23070,151
434,23069,152
1307,23067,153
6365,23054,154
185,23005,155
2011,22979,156
2502,22946,157
48780,22939,158
1393,22919,159
5618,22704,160
1259,22688,161
1917,22656,162
109487,22629,163
8368,22556,164
1080,22471,165
2355,22462,166
2916,22427,167
161,22331,168
32587,22268,169
21,22262,170
1610,22160,171
1219,22139,172
339,22094,173
3949,22062,174
5816,22023,175
551,21933,176
2987,21895,177
1653,21878,178
2012,21869,179
1584,21634,180
19,21543,181
1225,21078,182
5378,21070,183
2174,20839,184
8636,20721,185
99114,20683,186
141,20594,187
2791,20468,188
54286,20464,189
1220,20456,190
1101,20449,191
95,20449,191
49272,20446,193
2797,20401,194
6711,20286,195
8360,20195,196
904,20149,197
1573,20124,198
8665,20087,199
3948,20050,200
6333,19955,201
25,19937,202
91529,19908,203
508,19897,204
6016,19883,205
3897,19872,206
48394,19865,207
1079,19709,208
17,19605,209
8874,19556,210
2710,19480,211
2542,19256,212
36,19245,213
50872,19153,214
104,19112,215
1356,19101,216
2617,19087,217
923,19086,218
63082,19070,219
46578,19046,220
788,19023,221
300,18990,222
2000,18945,223
74458,18884,224
2692,18884,224
40815,18845,226
51662,18763,227
1485,18754,228
3751,18749,229
1247,18717,230
33493,18700,231
1625,18618,232
55820,18469,233
16,18399,234
3623,18324,235
56367,18302,236
5218,18209,237
1201,18155,238
3408,18097,239
442,18083,240
62,18071,241
6934,18067,242
474,17989,243
70286,17968,244
594,17929,245
3977,17899,246
410,17825,247
2700,17799,248
1391,17788,249
89745,17568,250
1127,17566,251
7147,17526,252
8644,17316,253
1676,17232,254
337,17229,255
3052,17132,256
5995,17063,257
11,17034,258
4034,17013,259
3481,17005,260
1252,16915,261
908,16839,262
1090,16791,263
3527,16758,264
1407,16641,265
1203,16557,266
3994,16555,267
1288,16552,268
1370,16541,269
134130,16485,270
368,16474,271
69122,16429,272
2268,16371,273
1230,16367,274
6502,16365,275
112852,16318,276
353,16219,277
1380,16182,278
68358,16087,279
2712,16081,280
2054,16073,281
45722,16055,282
509,15989,283
1207,15968,284
2194,15961,285
903,15924,286
1544,15922,287
4979,15829,288
1374,15781,289
266,15753,290
7143,15753,290
106782,15727,292
317,15723,293
1234,15650,294
7254,15643,295
1278,15582,296
235,15576,297
116797,15511,298
1394,15466,299
1199,15443,300
2353,15383,301
953,15365,302
2985,15337,303
555,15290,304
786,15263,305
1304,15259,306
1148,15249,307
1035,15233,308
3753,15156,309
6373,15142,310
2081,15125,311
1028,15112,312
1552,15097,313
4246,15090,314
1641,15072,315
48774,15060,316
1997,14990,317
3471,14970,318
4262,14900,319
1266,14793,320
173,14741,321
2640,14731,322
1608,14730,323
35836,14722,324
1183,14717,325
350,14692,326
3081,14666,327
920,14654,328
2395,14634,329
3175,14626,330
81845,14607,331
73017,14515,332
78499,14424,333
5459,14382,334
784,14374,335
51255,14352,336
54001,14340,337
553,14323,338
2671,14317,339
30707,14316,340
4308,14238,341
520,14214,342
56174,14180,343
163,14180,343
69844,14171,345
6863,14153,346
70,14097,347
81834,14051,348
3253,14039,349
80463,14028,350
1777,13982,351
370,13925,352
420,13924,353
4370,13920,354
122904,13900,355
1500,13896,356
708,13867,357
160,13834,358
76093,13830,359
2006,13804,360
2302,13799,361
832,13776,362
5502,13774,363
1673,13753,364
1320,13747,365
3176,13740,366
91500,13740,366
48385,13712,368
2572,13696,369
71535,13628,370
5669,13616,371
653,13604,372
6942,13579,373
134853,13573,374
2321,13572,375
1639,13551,376
1233,13530,377
81591,13510,378
1645,13482,379
122882,13479,380
5010,13452,381
88125,13452,381
64614,13426,383
6378,13410,384
48,13400,385
1377,13390,386
2657,13365,387
2019,13359,388
2599,13258,389
4720,13205,390
435,13184,391
2406,13162,392
2001,13142,393
1204,13134,394
3000,13132,395
2529,13114,396
485,13108,397
497,13073,398
109374,13073,398
54503,13008,400
2167,12992,401
2804,12964,402
196,12947,403
466,12925,404
33679,12845,405
112556,12815,406
2699,12777,407
145,12771,408
3160,12764,409
5299,12755,410
5679,12741,411
92259,12739,412
4014,12714,413
122886,12678,414
596,12675,415
2424,12660,416
1358,12655,417
1250,12612,418
3535,12565,419
115713,12544,420
1376,12530,421
3033,12528,422
41566,12516,423
30793,12501,424
4447,12494,425
4848,12448,426
1729,12426,427
111759,12425,428
1215,12423,429
4025,12390,430
802,12328,431
1302,12321,432
1722,12293,433
104841,12264,434
49530,12255,435
1282,12254,436
745,12223,437
913,12201,438
1748,12157,439
3448,12150,440
172,12123,441
2947,12088,442
7,12034,443
552,12029,444
27773,11986,445
60684,11980,446
2470,11960,447
1408,11928,448
5060,11926,449
2890,11920,450
34405,11920,450
1088,11918,452
3418,11879,453
2005,11836,454
2003,11778,455
47610,11773,456
77561,11744,457
1396,11722,458
432,11720,459
2273,11712,460
2701,11708,461
1333,11679,462
3,11660,463
1876,11624,464
2763,11604,465
151,11583,466
225,11578,467
1242,11568,468
4018,11562,469
5,11561,470
6870,11550,471
6537,11542,472
910,11508,473
3421,11505,474
1276,11502,475
4085,11489,476
1690,11486,477
69757,11481,478
3785,11469,479
30749,11457,480
3717,11438,481
8784,11430,482
1275,11386,483
1909,11382,484
1094,11359,485
33166,11358,486
59369,11350,487
543,11333,488
53125,11332,489
236,11329,490
1263,11313,491
3671,11297,492
168,11260,493
59784,11257,494
1262,11257,494
76251,11194,496
112552,11174,497
494,11142,498
1466,11137,499
805,11132,500
2100,11107,501
1907,11102,502
4776,11099,503
1092,11094,504
4310,11058,505
68237,11025,506
87232,11011,507
5481,10990,508
2288,10967,509
34162,10952,510
4816,10947,511
5902,10942,512
4975,10916,513
2294,10916,513
8464,10912,515
98809,10907,516
112,10881,517
628,10879,518
1285,10879,518
899,10861,520
333,10821,521
7293,10813,522
5377,10785,523
8361,10759,524
265,10758,525
4270,10755,526
1674,10740,527
2455,10729,528
8798,10721,529
57669,10714,530
3755,10709,531
1228,10702,532
45499,10692,533
342,10685,534
3911,10647,535
673,10634,536
64957,10633,537
4718,10624,538
783,10609,539
2080,10602,540
471,10593,541
5956,10550,542
7458,10542,543
34048,10537,544
2161,10526,545
2023,10524,546
31658,10508,547
5903,10492,548
1884,10485,549
106920,10428,550
1059,10421,551
3275,10411,552
58,10410,553
44195,10401,554
282,10382,555
186,10380,556
115617,10372,557
96079,10347,558
55247,10320,559
84152,10311,560
1375,10304,561
8376,10303,562
315,10272,563
376,10271,564
1372,10257,565
969,10246,566
5991,10220,567
2105,10220,567
785,10193,569
1569,10193,569
3752,10190,571
4643,10157,572
2407,10149,573
902,10113,574
1597,10093,575
164179,10086,576
2278,10086,576
56782,10041,578
2078,10035,579
1747,10028,580
96610,10012,581
529,10006,582
8984,10005,583
3039,9966,584
53996,9943,585
2694,9922,586
8529,9921,587
515,9916,588
1921,9907,589
3255,9875,590
661,9870,591
1562,9855,592
2076,9848,593
3499,9847,594
2761,9844,595
3702,9799,596
1339,9719,597
246,9713,598
3703,9712,599
1293,9674,600
79091,9657,601
4369,9652,602
914,9639,603
119145,9619,604
33004,9615,605
6807,9609,606
261,9599,607
1022,9582,608
45447,9581,609
36529,9574,610
47099,9566,611
1994,9559,612
355,9539,613
5464,9533,614
86332,9533,614
3489,9525,616
85414,9503,617
345,9495,618
106487,9477,619
2420,9454,620
1172,9429,621
3916,9386,622
8641,9370,623
79702,9363,624
7373,9361,625
2539,9359,626
5971,9338,627
3300,9334,628
8957,9311,629
1371,9308,630
1060,9302,631
3552,9261,632
252,9250,633
8622,9248,634
4367,9229,635
1084,9224,636
2541,9224,636
22,9206,638
7451,9186,639
46976,9175,640
44555,9174,641
54272,9173,642
1345,9172,643
1274,9171,644
1129,9157,645
2193,9147,646
4638,9130,647
97921,9121,648
2002,9120,649
30812,9115,650
1343,9100,651
3624,9085,652
4148,9073,653
1029,9066,654
3252,9065,655
3101,9064,656
111362,9056,657
8972,9050,658
3256,9043,659
40819,9041,660
216,9032,661
2770,9022,662
4239,9008,663
31,9001,664
88129,8996,665
4223,8995,666
44665,8993,667
4571,8984,668
8950,8982,669
2021,8967,670
3967,8964,671
105,8951,672
3082,8948,673
2058,8938,674
2144,8933,675
8949,8930,676
762,8874,677
1287,8864,678
585,8860,679
5266,8850,680
431,8838,681
1267,8835,682
6218,8831,683
1367,8796,684
2248,8795,685
1249,8794,686
91542,8787,687
1918,8782,688
1967,8781,689
88140,8773,690
3006,8755,691
110102,8755,691
152081,8685,693
2717,8667,694
8533,8663,695
1120,8641,696
198,8635,697
2124,8621,698
44199,8551,699
1271,8550,700
475,8549,701
1953,8542,702
2160,8537,703
45720,8528,704
1947,8526,705
41569,8522,706
2336,8516,707
1244,8505,708
277,8489,709
52,8479,710
2724,8426,711
3863,8415,712
1032,8402,713
2085,8399,714
91658,8395,715
741,8380,716
724,8363,717
1405,8359,718
180,8356,719
1962,8316,720
1061,8312,721
2746,8307,722
97304,8302,723
4874,8295,724
3868,8281,725
52973,8280,726
2490,8279,727
2605,8276,728
31685,8274,729
29,8266,730
102125,8265,731
45,8256,732
455,8255,733
106489,8244,734
3617,8243,735
2150,8236,736
7090,8234,737
2871,8226,738
4016,8214,739
2427,8199,740
1235,8192,741
441,8190,742
31696,8189,743
616,8181,744
1261,8178,745
69481,8158,746
8528,8148,747
45517,8147,748
1047,8123,749
3210,8098,750
2968,8089,751
1027,8063,752
8970,8041,753
59615,8034,754
2580,8017,755
1347,8013,756
2953,8010,757
52722,8007,758
1882,8003,759
97938,7998,760
2641,7994,761
968,7987,762
3510,7955,763
4361,7952,764
2018,7950,765
94959,7938,766
1663,7936,767
51540,7936,767
1272,7904,769
39183,7895,770
6936,7891,771
2393,7888,772
30810,7876,773
6947,7872,774
2723,7863,775
204,7860,776
88744,7843,777
3362,7839,778
2140,7819,779
61323,7808,780
2915,7803,781
4299,7803,781
3174,7794,783
224,7792,784
1513,7776,785
1042,7752,786
4701,7722,787
122892,7721,788
849,7709,789
81847,7695,790
170,7693,791
1223,7682,792
1479,7623,793
2908,7621,794
2087,7621,794
7445,7604,796
94864,7598,797
5388,7591,798
82459,7584,799
37729,7573,800
60074,7569,801
3826,7568,802
3988,7554,803
53322,7532,804
3301,7532,804
1644,7530,806
1321,7513,807
102445,7463,808
3247,7442,809
5810,7440,810
1912,7430,811
2949,7429,812
2951,7428,813
24,7414,814
72641,7397,815
1805,7397,815
838,7392,817
1357,7390,818
348,7389,819
148626,7379,820
372,7379,820
55765,7377,822
1231,7364,823
922,7361,824
3108,7350,825
115569,7342,826
4734,7340,827
2948,7340,827
3107,7337,829
2581,7333,830
2826,7324,831
1831,7321,832
647,7314,833
1982,7304,834
2501,7294,835
2289,7292,836
1175,7290,837
610,7276,838
4002,7274,839
2722,7272,840
3363,7272,840
112183,7260,842
6281,7249,843
1093,7246,844
1590,7239,845
68319,7238,846
34319,7238,846
61132,7225,848
106696,7219,849
3105,7213,850
524,7205,851
6188,7201,852
1212,7191,853
38061,7164,854
4344,7163,855
3386,7161,856
247,7139,857
2881,7131,858
1911,7130,859
193,7129,860
272,7122,861
2020,7093,862
30825,7090,863
5630,7089,864
719,7085,865
139385,7082,866
1188,7072,867
6953,7070,868
1373,7063,869
5219,7043,870
306,7043,870
2145,7037,872
63113,7035,873
3409,7017,874
2096,7014,875
1717,7009,876
1587,6999,877
1566,6998,878
3072,6990,879
8783,6982,880
531,6980,881
362,6972,882
4446,6970,883
6534,6969,884
5444,6959,885
2403,6922,886
5254,6922,886
2109,6905,888
2064,6887,889
2944,6884,890
33615,6869,891
2313,6851,892
166528,6849,893
3556,6838,894
74789,6826,895
3005,6824,896
3555,6822,897
1020,6802,898
4641,6794,899
1299,6794,899
273,6788,901
106100,6782,902
97913,6766,903
5872,6766,903
102903,6766,903
4321,6754,906
2231,6752,907
58998,6748,908
1077,6736,909
168252,6735,910
1960,6727,911
230,6717,912
1269,6714,913
1680,6710,914
468,6703,915
319,6701,916
3020,6696,917
2394,6679,918
54259,6679,918
327,6673,920
6157,6668,921
6754,6668,921
53972,6666,923
108932,6665,924
54997,6657,925
3285,6648,926
2335,6638,927
1037,6628,928
3148,6625,929
34150,6625,929
122918,6620,931
93510,6613,932
56757,6610,933
3361,6605,934
1586,6600,935
307,6599,936
1186,6585,937
215,6581,938
2687,6570,939
89492,6569,940
64839,6565,941
3273,6560,942
115149,6551,943
66097,6525,944
800,6522,945
303,6520,946
6541,6517,947
122922,6515,948
2431,6503,949
2108,6490,950
8917,6478,951
5673,6475,952
2707,6474,953
898,6471,954
3969,6468,955
2094,6466,956
116823,6422,957
916,6417,958
81562,6410,959
122900,6406,960
2478,6400,961
4855,6383,962
57368,6378,963
1952,6376,964
3354,6372,965
3798,6361,966
1378,6350,967
93840,6341,968
4235,6338,969
2366,6337,970
1298,6335,971
72011,6324,972
3396,6324,972
91630,6322,974
5064,6322,974
2795,6305,976
122920,6302,977
3317,6300,978
95167,6271,979
1292,6267,980
3257,6249,981
2391,6246,982
96821,6239,983
1245,6237,984
4019,6234,985
2352,6226,986
1957,6206,987
1104,6195,988
1801,6172,989
6323,6167,990
5013,6166,991
95510,6165,992
4015,6162,993
4901,6160,994
2300,6160,994
1095,6156,996
2423,6155,997
128360,6148,998
103249,6144,999
1179,6143,1000
2359,6128,1001
63992,6113,1002
1385,6111,1003
72226,6102,1004
1779,6100,1005
4890,6086,1006
2378,6073,1007
2371,6070,1008
830,6067,1009
1253,6067,1009
4105,6064,1011
46972,6051,1012
2010,6050,1013
40629,6038,1014
122912,6027,1015
1296,6027,1015
3424,6026,1017
2340,6017,1018
7022,6008,1019
41997,6002,1020
1086,5996,1021
107,5984,1022
5945,5976,1023
80549,5974,1024
6287,5968,1025
2421,5957,1026
5507,5955,1027
1499,5955,1027
2134,5946,1029
60,5941,1030
6155,5937,1031
46723,5937,1031
2485,5932,1033
2405,5911,1034
135,5881,1035
1945,5876,1036
2788,5875,1037
53000,5857,1038
1965,5857,1038
2872,5848,1040
2125,5846,1041
671,5846,1041
88810,5842,1043
799,5841,1044
866,5831,1045
1438,5830,1046
4128,5829,1047
5574,5819,1048
1025,5814,1049
45186,5814,1049
3704,5803,1051
1103,5799,1052
64969,5794,1053
837,5790,1054
7454,5789,1055
117529,5783,1056
8371,5781,1057
6708,5767,1058
72378,5764,1059
2428,5763,1060
562,5761,1061
237,5761,1061
38038,5751,1063
3504,5750,1064
97752,5750,1064
48738,5741,1066
2409,5737,1067
1350,5734,1068
413,5726,1069
743,5720,1070
1284,5717,1071
954,5711,1072
61024,5708,1073
122916,5703,1074
4343,5694,1075
3745,5692,1076
1449,5672,1077
3809,5672,1077
2616,5669,1079
7323,5666,1080
33660,5666,1080
1441,5664,1082
31410,5660,1083
1019,5659,1084
73321,5629,1085
162,5624,1086
909,5618,1087
4489,5615,1088
232,5612,1089
1209,5607,1090
3697,5606,1091
7360,5599,1092
3681,5597,1093
67255,5592,1094
60040,5578,1095
3608,5576,1096
2600,5576,1096
2067,5568,1098
1256,5551,1099
532,5544,1100
88163,5533,1101
118696,5518,1102
5225,5501,1103
3740,5494,1104
3168,5488,1105
1411,5471,1106
14,5466,1107
3882,5464,1108
3034,5458,1109
2186,5453,1110
2686,5448,1111
6350,5447,1112
2137,5434,1113
6979,5434,1113
2467,5432,1115
2243,5431,1116
2688,5421,1117
3087,5420,1118
6503,5419,1119
86880,5409,1120
1476,5401,1121
3435,5400,1122
3157,5399,1123
3827,5396,1124
142488,5390,1125
105844,5383,1126
2739,5381,1127
27706,5380,1128
222,5370,1129
546,5367,1130
3263,5363,1131
61240,5360,1132
1254,5360,1132
18,5358,1134
3450,5354,1135
379,5354,1135
1591,5349,1137
8807,5343,1138
3986,5340,1139
101864,5339,1140
81564,5339,1140
2410,5336,1142
1185,5322,1143
52281,5322,1143
3683,5319,1145
637,5306,1146
7099,5297,1147
3100,5280,1148
45672,5278,1149
5954,5272,1150
5528,5272,1150
1835,5267,1152
4007,5265,1153
106072,5251,1154
94777,5248,1155
104879,5241,1156
4232,5234,1157
90405,5226,1158
60072,5223,1159
7444,5220,1160
1217,5219,1161
1635,5217,1162
3113,5207,1163
3476,5198,1164
103228,5191,1165
2384,5189,1166
3254,5178,1167
1556,5172,1168
49278,5171,1169
82461,5171,1169
535,5169,1171
2728,5169,1171
1100,5168,1173
6383,5164,1174
81229,5163,1175
915,5162,1176
3186,5158,1177
1041,5151,1178
3825,5150,1179
6565,5146,1180
55269,5136,1181
2471,5133,1182
2411,5124,1183
2402,5121,1184
176371,5115,1185
5015,5110,1186
1257,5105,1187
37733,5086,1188
103253,5085,1189
4023,5083,1190
308,5079,1191
926,5067,1192
4865,5063,1193
6787,5063,1193
1237,5062,1195
930,5058,1196
3104,5057,1197
203,5050,1198
2528,5044,1199
1283,5040,1200
1955,5036,1201
117176,5028,1202
880,5023,1203
4069,5012,1204
8958,5012,1204
207,5012,1204
168250,5008,1207
79,5006,1208
3438,4995,1209
3869,4989,1210
491,4984,1211
481,4983,1212
2369,4983,1212
2986,4979,1214
31878,4972,1215
4700,4970,1216
276,4963,1217
112175,4960,1218
374,4950,1219
748,4941,1220
1091,4939,1221
2991,4937,1222
103042,4933,1223
2046,4932,1224
2116,4930,1225
5617,4923,1226
1894,4922,1227
8810,4905,1228
928,4903,1229
46530,4896,1230
6957,4894,1231
1125,4888,1232
112623,4884,1233
3462,4870,1234
2840,4870,1234
111360,4866,1236
2803,4852,1237
58803,4850,1238
87869,4847,1239
994,4839,1240
89864,4836,1241
5690,4835,1242
44022,4833,1243
8638,4830,1244
933,4825,1245
1248,4820,1246
84954,4819,1247
1589,4811,1248
361,4807,1249
3060,4806,1250
4388,4794,1251
1619,4793,1252
428,4784,1253
2013,4781,1254
104374,4777,1255
114180,4769,1256
8983,4763,1257
1959,4760,1258
1958,4755,1259
3638,4752,1260
765,4750,1261
3526,4747,1262
3968,4744,1263
105504,4744,1263
1049,4743,1265
175,4740,1266
1227,4735,1267
1416,4733,1268
57640,4730,1269
5291,4719,1270
88,4718,1271
383,4712,1272
55118,4711,1273
1687,4711,1273
80489,4691,1275
3534,4688,1276
519,4687,1277
2398,4686,1278
538,4682,1279
1883,4681,1280
280,4677,1281
3098,4676,1282
51935,4671,1283
2642,4671,1283
107406,4669,1285
41285,4658,1286
52328,4656,1287
1792,4653,1288
3984,4649,1289
102407,4646,1290
1688,4644,1291
87306,4641,1292
81932,4638,1293
8981,4637,1294
65,4636,1295
1464,4630,1296
2139,4624,1297
2004,4616,1298
836,4611,1299
8873,4609,1300
2413,4602,1301
53121,4601,1302
2664,4597,1303
2662,4595,1304
1693,4593,1305
4161,4587,1306
7325,4582,1307
2141,4573,1308
56775,4571,1309
3298,4557,1310
1033,4557,1310
540,4547,1312
4448,4546,1313
249,4540,1314
48043,4536,1315
3198,4530,1316
3730,4530,1316
3264,4527,1318
140,4526,1319
5620,4524,1320
1702,4523,1321
53519,4520,1322
26662,4510,1323
69406,4507,1324
4084,4504,1325
3360,4493,1326
2082,4491,1327
55290,4483,1328
2245,4480,1329
27904,4476,1330
381,4467,1331
6564,4465,1332
534,4459,1333
6548,4456,1334
3083,4452,1335
955,4450,1336
1281,4439,1337
101,4436,1338
3328,4436,1338
103335,4435,1340
5992,4429,1341
2133,4422,1342
2719,4418,1343
6440,4416,1344
135143,4409,1345
2318,4404,1346
2993,4401,1347
4881,4398,1348
3156,4398,1348
4823,4398,1348
8914,4398,1348
68791,4385,1352
3735,4384,1353
3893,4377,1354
6593,4377,1354
139644,4372,1356
1620,4369,1357
2053,4366,1358
1711,4366,1358
48304,4356,1360
3635,4353,1361
5449,4348,1362
338,4340,1363
5782,4338,1364
103141,4333,1365
7318,4330,1366
1388,4327,1367
1124,4326,1368
1224,4323,1369
66934,4321,1370
2841,4317,1371
7160,4314,1372
58025,4313,1373
905,4312,1374
3246,4312,1374
2805,4307,1376
2301,4293,1377
3178,4292,1378
2297,4289,1379
514,4284,1380
3468,4278,1381
3910,4277,1382
69,4275,1383
36517,4274,1384
3593,4265,1385
911,4257,1386
1013,4257,1386
1614,4252,1388
1178,4251,1389
69526,4250,1390
106916,4250,1390
41,4248,1392
187593,4246,1393
114662,4239,1394
2792,4233,1395
412,4230,1396
2527,4227,1397
737,4223,1398
3267,4221,1399
147,4220,1400
90866,4218,1401
419,4215,1402
5171,4212,1403
115210,4210,1404
4499,4210,1404
3452,4204,1406
1834,4200,1407
1588,4200,1407
1297,4193,1409
1892,4187,1410
227,4187,1410
707,4185,1412
37741,4184,1413
2338,4183,1414
2333,4183,1414
2989,4182,1416
2505,4175,1417
86833,4175,1417
79293,4168,1419
5785,4165,1420
3744,4161,1421
5049,4161,1421
1956,4153,1423
39292,4149,1424
951,4144,1425
2990,4142,1426
86911,4141,1427
2672,4133,1428
2009,4130,1429
477,4127,1430
1974,4119,1431
64716,4119,1431
1031,4117,1433
3159,4111,1434
4728,4108,1435
171763,4105,1436
4327,4105,1436
23,4105,1436
2808,4100,1439
60756,4100,1439
2857,4100,1439
143355,4099,1442
39446,4098,1443
68554,4098,1443
144,4097,1445
4351,4095,1446
1344,4090,1447
56587,4083,1448
2720,4080,1449
2863,4077,1450
27660,4075,1451
46970,4070,1452
2311,4067,1453
2973,4066,1454
8910,4064,1455
1678,4061,1456
174055,4061,1456
135133,4050,1458
3979,4034,1459
111781,4032,1460
5400,4027,1461
5014,4024,1462
3355,4021,1463
6796,4020,1464
122926,4019,1465
5110,4018,1466
53953,4015,1467
1243,4012,1468
164,4007,1469
262,4006,1470
3536,4000,1471
3030,3996,1472
3699,3979,1473
4326,3975,1474
166461,3971,1475
47997,3969,1476
3639,3968,1477
1348,3966,1478
33162,3959,1479
3173,3959,1479
1885,3953,1481
27831,3953,1481
5944,3944,1483
55276,3944,1483
108190,3938,1485
7162,3936,1486
4639,3932,1487
54995,3924,1488
1920,3915,1489
5152,3914,1490
86,3914,1490
371,3913,1492
40278,3913,1492
714,3906,1494
4008,3895,1495
6709,3893,1496
63876,3892,1497
7371,3890,1498
3089,3885,1499
67087,3877,1500
2065,3877,1500
49286,3875,1502
6620,3865,1503
218,3864,1504
7347,3860,1505
56152,3859,1506
96588,3856,1507
3980,3852,1508
114935,3837,1509
20,3837,1509
140174,3831,1511
112290,3826,1512
34437,3825,1513
4366,3822,1514
42738,3821,1515
2496,3817,1516
2059,3811,1517
7173,3810,1518
1754,3805,1519
2735,3804,1520
5103,3803,1521
4992,3796,1522
112138,3796,1522
5878,3787,1524
143385,3782,1525
4980,3781,1526
314,3775,1527
1359,3773,1528
1616,3773,1528
3037,3772,1530
164909,3769,1531
3686,3765,1532
1277,3759,1533
56145,3756,1534
267,3756,1534
100,3753,1536
106002,3752,1537
1672,3750,1538
94,3748,1539
290,3748,1539
1301,3747,1541
1354,3741,1542
2713,3737,1543
8861,3734,1544
6773,3734,1544
2966,3732,1546
53464,3731,1547
7004,3728,1548
12,3727,1549
1211,3726,1550
8865,3725,1551
4873,3718,1552
4623,3718,1552
2404,3717,1554
940,3713,1555
839,3706,1556
1135,3704,1557
84944,3704,1557
177593,3701,1559
3146,3700,1560
2567,3696,1561
5463,3694,1562
2565,3688,1563
9,3688,1563
6867,3677,1565
7149,3676,1566
2598,3675,1567
1810,3672,1568
2375,3672,1568
2433,3670,1570
79695,3668,1571
122906,3665,1572
152077,3660,1573
6156,3657,1574
47200,3651,1575
3258,3650,1576
2942,3650,1576
7387,3647,1578
4621,3645,1579
45728,3644,1580
4545,3641,1581
533,3638,1582
3095,3631,1583
965,3630,1584
3981,3620,1585
5313,3617,1586
2917,3616,1587
106918,3613,1588
2513,3610,1589
2118,3604,1590
2450,3603,1591
3791,3602,1592
1015,3596,1593
1537,3596,1593
40583,3593,1595
1665,3593,1595
281,3588,1597
1081,3588,1597
122,3587,1599
934,3587,1599
6659,3585,1601
3019,3584,1602
6385,3584,1602
71264,3580,1604
3044,3580,1604
2412,3577,1606
34072,3575,1607
1147,3575,1607
98961,3573,1609
1515,3573,1609
104913,3573,1609
63131,3572,1612
3551,3572,1612
3479,3572,1612
2376,3561,1615
2083,3554,1616
1096,3551,1617
2422,3543,1618
257,3541,1619
2253,3541,1619
104211,3532,1621
3070,3532,1621
2950,3527,1623
56949,3522,1624
4041,3514,1625
1719,3510,1626
2648,3508,1627
2459,3505,1628
6586,3503,1629
2976,3496,1630
1078,3496,1630
96737,3495,1632
1950,3492,1633
2819,3491,1634
1251,3487,1635
2469,3483,1636
60950,3482,1637
6888,3480,1638
63072,3474,1639
446,3469,1640
6059,3465,1641
103341,3461,1642
1303,3459,1643
63859,3458,1644
1381,3456,1645
8965,3455,1646
493,3450,1647
502,3448,1648
6297,3447,1649
8985,3443,1650
2176,3440,1651
1459,3435,1652
3821,3429,1653
111659,3428,1654
3508,3421,1655
91535,3421,1655
136020,3418,1657
6283,3416,1658
2117,3412,1659
4054,3409,1660
3543,3404,1661
4103,3402,1662
4467,3399,1663
7317,3397,1664
3271,3394,1665
1021,3389,1666
2379,3389,1666
55442,3387,1668
37386,3386,1669
5881,3380,1670
6879,3377,1671
2622,3368,1672
4958,3366,1673
239,3366,1673
158238,3361,1675
59501,3360,1676
60126,3360,1676
405,3354,1678
138036,3353,1679
4033,3351,1680
3676,3348,1681
65261,3347,1682
5541,3347,1682
2454,3345,1684
5957,3344,1685
2088,3338,1686
55052,3335,1687
4558,3333,1688
3654,3327,1689
3999,3324,1690
7163,3320,1691
351,3318,1692
950,3318,1692
45431,3318,1692
2072,3315,1695
88405,3314,1696
157296,3309,1697
542,3308,1698
179819,3307,1699
1488,3300,1700
